,precision,recall,f1-score,support
0,0.9779399287290005,0.9693860386879731,0.9736441966548404,5945.0
1,0.636,0.7098214285714286,0.6708860759493671,448.0
accuracy,0.9511966213045518,0.9511966213045518,0.9511966213045518,0.9511966213045518
macro avg,0.8069699643645003,0.8396037336297009,0.8222651363021037,6393.0
weighted avg,0.9539779252766944,0.9511966213045518,0.9524279229060444,6393.0
