,precision,recall,f1-score,support
0,0.9825418994413407,0.9466778805719092,0.9642765355949627,5945.0
1,0.5233082706766917,0.7767857142857143,0.6253369272237197,448.0
accuracy,0.9347724073205068,0.9347724073205068,0.9347724073205068,0.9347724073205068
macro avg,0.7529250850590162,0.8617317974288117,0.7948067314093412,6393.0
weighted avg,0.9503603468546736,0.9347724073205068,0.9405247845312498,6393.0
