,precision,recall,f1-score,support
0,0.9299233536680744,1.0,0.9636894148160156,5945.0
1,0.0,0.0,0.0,448.0
accuracy,0.9299233536680744,0.9299233536680744,0.9299233536680744,0.9299233536680744
macro avg,0.4649616768340372,0.5,0.4818447074080078,6393.0
weighted avg,0.8647574436972787,0.9299233536680744,0.8961572925201334,6393.0
